operation_name,index_type,rows_base,runs,batch_size_min,batch_size_max,probes_min,probes_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_operation,affected_rows_min,affected_rows_max,found_rows_min,found_rows_max,trigger_rows_min,trigger_rows_max
update,unique_btree,5000,5,1000,1000,,,17.186000,13.205000,26.427000,5.607548,0.017186000,1000,1000,,,1000,1000
update,expression_index,10000,5,1000,1000,,,13.701800,12.664000,15.208000,0.940605,0.013701800,1000,1000,,,1000,1000
update,function_index,10000,5,1000,1000,,,20.112000,13.867000,27.870000,6.877414,0.020112000,1000,1000,,,1000,1000
update,no_extra_index,10000,5,1000,1000,,,21.985000,17.890000,27.677000,3.693901,0.021985000,1000,1000,,,1000,1000
update,simple_btree,10000,5,1000,1000,,,17.495600,12.942000,25.183000,5.435253,0.017495600,1000,1000,,,1000,1000
update,unique_btree,10000,5,1000,1000,,,18.767400,12.680000,28.841000,6.642906,0.018767400,1000,1000,,,1000,1000
update,expression_index,25000,5,1000,1000,,,13.260400,10.991000,17.999000,2.765106,0.013260400,1000,1000,,,1000,1000
update,function_index,25000,5,1000,1000,,,15.650200,13.006000,17.368000,1.965598,0.015650200,1000,1000,,,1000,1000
update,no_extra_index,25000,5,1000,1000,,,13.221800,10.629000,18.234000,3.086158,0.013221800,1000,1000,,,1000,1000
update,simple_btree,25000,5,1000,1000,,,14.066600,11.758000,17.828000,2.466138,0.014066600,1000,1000,,,1000,1000
update,unique_btree,25000,5,1000,1000,,,11.946000,10.594000,13.307000,1.005243,0.011946000,1000,1000,,,1000,1000
update,expression_index,50000,5,1000,1000,,,14.127200,11.707000,17.456000,2.549949,0.014127200,1000,1000,,,1000,1000
update,function_index,50000,5,1000,1000,,,23.257200,14.801000,37.068000,10.004649,0.023257200,1000,1000,,,1000,1000
update,no_extra_index,50000,5,1000,1000,,,14.137000,10.744000,17.139000,2.312559,0.014137000,1000,1000,,,1000,1000
update,simple_btree,50000,5,1000,1000,,,12.902000,10.783000,14.601000,1.864280,0.012902000,1000,1000,,,1000,1000
update,unique_btree,50000,5,1000,1000,,,17.665000,14.468000,22.470000,3.151536,0.017665000,1000,1000,,,1000,1000
update,expression_index,100000,5,1000,1000,,,15.943600,11.420000,23.550000,4.574353,0.015943600,1000,1000,,,1000,1000
update,function_index,100000,5,1000,1000,,,16.210200,11.136000,32.949000,9.382050,0.016210200,1000,1000,,,1000,1000
update,no_extra_index,100000,5,1000,1000,,,11.671800,9.438000,14.372000,2.391286,0.011671800,1000,1000,,,1000,1000
update,simple_btree,100000,5,1000,1000,,,16.022200,11.134000,20.662000,4.483092,0.016022200,1000,1000,,,1000,1000
update,unique_btree,100000,5,1000,1000,,,15.269600,10.900000,23.896000,5.308288,0.015269600,1000,1000,,,1000,1000
update,expression_index,250000,5,1000,1000,,,14.794200,13.820000,15.991000,0.902214,0.014794200,1000,1000,,,1000,1000
update,function_index,250000,5,1000,1000,,,14.525200,11.671000,16.999000,2.041263,0.014525200,1000,1000,,,1000,1000
update,no_extra_index,250000,5,1000,1000,,,14.217400,12.031000,16.923000,2.406658,0.014217400,1000,1000,,,1000,1000
update,simple_btree,250000,5,1000,1000,,,20.344400,15.899000,27.894000,5.921469,0.020344400,1000,1000,,,1000,1000
update,unique_btree,250000,5,1000,1000,,,11.961800,10.470000,14.749000,1.711160,0.011961800,1000,1000,,,1000,1000
update,expression_index,500000,5,1000,1000,,,19.999800,15.292000,34.291000,8.060132,0.019999800,1000,1000,,,1000,1000
update,function_index,500000,5,1000,1000,,,18.441000,12.453000,25.134000,4.975300,0.018441000,1000,1000,,,1000,1000
update,no_extra_index,500000,5,1000,1000,,,13.774000,10.375000,18.068000,3.141751,0.013774000,1000,1000,,,1000,1000
update,simple_btree,500000,5,1000,1000,,,18.508400,15.118000,25.994000,4.430544,0.018508400,1000,1000,,,1000,1000
update,unique_btree,500000,5,1000,1000,,,17.362600,14.244000,22.267000,3.882015,0.017362600,1000,1000,,,1000,1000
