operation_name,index_type,metric,min_rows_for_fit,points_used_for_fit,teacher_model_name,teacher_formula,teacher_r2,teacher_rmse,teacher_mape_percent,teacher_aicc,statistical_model_name,statistical_formula,statistical_r2,statistical_rmse,statistical_mape_percent,statistical_aicc,models_match,expected_priority
update,expression_index,avg_elapsed_ms_per_operation,50,13,logarithmic,y = 0.0186202 + -1.966168e-04·ln(N),0.021812739899354616,0.0037900703557409267,16.53114616366195,-139.7596381100418,constant,y = 0.0169456,0.0,0.0038320950337192346,16.835581870214416,-142.30929773426163,NO,logarithmic > linear > constant > exponential
update,function_index,avg_elapsed_ms_per_operation,50,13,logarithmic,y = 0.0209972 + -3.189732e-04·ln(N),0.05504894030289209,0.0038041276393504762,18.18245545816967,-139.66338310285767,constant,y = 0.0182804,0.0,0.003913365591566221,17.716070447643638,-141.7636588995941,NO,logarithmic > linear > constant > exponential
update,no_extra_index,avg_elapsed_ms_per_operation,50,13,constant,y = 0.014864,1.1102230246251565e-16,0.0028296678107250068,14.774754465423282,-150.19385848159905,constant,y = 0.014864,1.1102230246251565e-16,0.0028296678107250068,14.774754465423282,-150.19385848159905,YES,constant > logarithmic > linear > exponential
update,simple_btree,avg_elapsed_ms_per_operation,50,13,logarithmic,y = 0.0206837 + -4.190007e-04·ln(N),0.08982713117645846,0.0038392256066648173,17.145707822045715,-139.42459953891677,constant,y = 0.017115,-2.220446049250313e-16,0.004024219774428257,16.077855087208963,-141.03739366224062,NO,logarithmic > linear > constant > exponential
update,unique_btree,avg_elapsed_ms_per_operation,50,13,logarithmic,y = 0.01845 + -2.443709e-04·ln(N),0.060106450418297985,0.002781627267652325,15.651197178984944,-147.80269853576704,constant,y = 0.0163687,0.0,0.002869191928629664,15.699856145144617,-149.83320965379417,NO,logarithmic > linear > constant > exponential
update,expression_index,avg_total_elapsed_ms,50,13,logarithmic,y = -0.45133 + 1.55808·ln(N),0.4298081864111535,5.165765028084575,95.5062027209565,47.89338344271054,logarithmic,y = -0.45133 + 1.55808·ln(N),0.4298081864111535,5.165765028084575,95.5062027209565,47.89338344271054,YES,logarithmic > linear > constant > exponential
update,function_index,avg_total_elapsed_ms,50,13,logarithmic,y = -1.44567 + 1.7519·ln(N),0.5689866478881453,4.389084296695802,83.61096462111345,43.65713603881505,logarithmic,y = -1.44567 + 1.7519·ln(N),0.5689866478881453,4.389084296695802,83.61096462111345,43.65713603881505,YES,logarithmic > linear > constant > exponential
update,no_extra_index,avg_total_elapsed_ms,50,13,constant,y = 11.048,-2.220446049250313e-16,5.92172943821383,169.80840143383392,48.60797843135912,logarithmic,y = -1.09909 + 1.42619·ln(N),0.4806170353720417,4.267685538489143,72.98611800470253,42.927862947661396,NO,constant > logarithmic > linear > exponential
update,simple_btree,avg_total_elapsed_ms,50,13,logarithmic,y = -3.28813 + 1.82282·ln(N),0.7441997929016866,3.0762344951790306,47.334093577469446,34.41636334606795,logarithmic,y = -3.28813 + 1.82282·ln(N),0.7441997929016866,3.0762344951790306,47.334093577469446,34.41636334606795,YES,logarithmic > linear > constant > exponential
update,unique_btree,avg_total_elapsed_ms,50,13,logarithmic,y = -0.538934 + 1.51364·ln(N),0.48720620999765274,4.469997327139853,92.43345824991552,44.132083077420226,logarithmic,y = -0.538934 + 1.51364·ln(N),0.48720620999765274,4.469997327139853,92.43345824991552,44.132083077420226,YES,logarithmic > linear > constant > exponential
