operation_name,index_type,metric,min_rows_for_fit,points_used_for_fit,model_name,priority_rank,formula,coef_0,coef_1,r2,rmse,mape_percent,aicc
size_select,without_index_nonclustered,relation_bytes,50,13,linear,1,y = -1038.07 + 6.819421e+07·(N/1e6),-1038.07268048657,68194213.19869371,0.9999998964523585,3086.311104233006,8.538860490514697,214.10302782241945
size_select,without_index_nonclustered,relation_bytes,50,13,logarithmic,2,y = -1.519356e+07 + 2.365400e+06·ln(N),-15193557.811464703,2365399.7965595,0.5039777678366,6754919.332565836,11270.263331273349,414.07032127291956
size_select,without_index_nonclustered,relation_bytes,50,13,constant,3,y = 4.953009e+06,4953009.230769232,,0.0,9591125.987107411,13744.075434817165,420.34870653112733
size_select,without_index_nonclustered,relation_bytes,50,13,exponential,4,y = 1.293131e+05·exp(14.2806·(N/1e6)),11.769991986154874,14.280620014303995,-13.104797582047583,36020772.69715694,379.2453868238193,457.589765083729
size_select,btree_index_nonclustered,total_bytes,50,13,linear,1,y = 4.393272e+04 + 9.070951e+07·(N/1e6),43932.72406604654,90709507.18672322,0.9999995032735203,8991.53050022652,9.657114941646148,241.90499730064778
size_select,btree_index_nonclustered,total_bytes,50,13,logarithmic,2,y = -2.017974e+07 + 3.148146e+06·ln(N),-20179738.1841841,3148146.005384564,0.5045465729306393,8980000.98040204,4000.5326206132445,421.4732742858183
size_select,btree_index_nonclustered,total_bytes,50,13,constant,3,y = 6.633630e+06,6633629.538461541,,2.220446049250313e-16,12757775.797713237,5093.06897864277,427.7665756278752
size_select,btree_index_nonclustered,total_bytes,50,13,exponential,4,y = 2.798498e+05·exp(12.8867·(N/1e6)),12.542008333490573,12.886719413994646,-7.20607053636337,36546230.458372846,219.94983679534639,457.9663037301964
size_select,without_index_nonclustered,total_bytes,50,13,linear,1,y = 2.658245e+04 + 6.822170e+07·(N/1e6),26582.445421337572,68221698.65472536,0.999999452550852,7099.317347110495,16.205680253622432,235.76160166292672
size_select,without_index_nonclustered,total_bytes,50,13,logarithmic,2,y = -1.518347e+07 + 2.367693e+06·ln(N),-15183474.35482947,2367693.2486035004,0.5045485190403926,6753754.398546173,5630.692391865155,414.06583700078613
size_select,without_index_nonclustered,total_bytes,50,13,constant,3,y = 4.982626e+06,4982626.461538464,,-2.220446049250313e-16,9594993.788886566,6756.3113455240755,420.35918940612186
size_select,without_index_nonclustered,total_bytes,50,13,exponential,4,y = 1.896153e+05·exp(13.1864·(N/1e6)),12.152752359437384,13.186425375505873,-8.251578648331412,29184524.413846925,265.0064254437382,452.1178776638997
