index_type,trigger_mode,rows_base,runs,chunk_count_min,chunk_count_max,chunk_size_min,chunk_size_max,affected_min,affected_max,trigger_rows_min,trigger_rows_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_row
no_extra_index,without_trigger,25000,5,100,100,10,10,1000,1000,0,0,17.7910000000000000,15.311000,21.328000,2.3240254946966481,0.01779100000000000000
no_lookup_index,without_trigger,25000,5,100,100,10,10,1000,1000,0,0,190.0204000000000000,159.607000,232.556000,32.4230205455938358,0.19002040000000000000
simple_btree,without_trigger,25000,5,100,100,10,10,1000,1000,0,0,11.4602000000000000,9.211000,15.894000,3.0354543646709631,0.01146020000000000000
simple_btree,with_trigger,25000,5,100,100,10,10,1000,1000,1000,1000,20.5012000000000000,17.446000,22.849000,2.1497420077767471,0.02050120000000000000
unique_btree,without_trigger,25000,5,100,100,10,10,1000,1000,0,0,16.6936000000000000,13.743000,21.073000,2.7139954495171874,0.01669360000000000000
unique_btree,with_trigger,25000,5,100,100,10,10,1000,1000,1000,1000,32.8672000000000000,22.333000,41.824000,8.1164736000309888,0.03286720000000000000
expression_index,without_trigger,50000,5,100,100,10,10,1000,1000,0,0,17.9998000000000000,15.089000,21.943000,2.9267202975344262,0.01799980000000000000
expression_index,with_trigger,50000,5,100,100,10,10,1000,1000,1000,1000,30.0956000000000000,24.355000,37.434000,5.7845346658136642,0.03009560000000000000
function_index,without_trigger,50000,5,100,100,10,10,1000,1000,0,0,13.9638000000000000,12.031000,16.693000,2.2222019935190410,0.01396380000000000000
function_index,with_trigger,50000,5,100,100,10,10,1000,1000,1000,1000,19.2276000000000000,17.071000,21.532000,2.0524995249694944,0.01922760000000000000
no_extra_index,without_trigger,50000,5,100,100,10,10,1000,1000,0,0,20.7402000000000000,10.478000,35.923000,12.5236648669628652,0.02074020000000000000
no_lookup_index,without_trigger,50000,5,100,100,10,10,1000,1000,0,0,379.4366000000000000,306.926000,454.756000,65.5128686694453947,0.37943660000000000000
simple_btree,without_trigger,50000,5,100,100,10,10,1000,1000,0,0,15.0026000000000000,11.374000,19.728000,3.7623749547327151,0.01500260000000000000
simple_btree,with_trigger,50000,5,100,100,10,10,1000,1000,1000,1000,18.4350000000000000,15.349000,22.538000,2.5882265163621209,0.01843500000000000000
unique_btree,without_trigger,50000,5,100,100,10,10,1000,1000,0,0,12.7130000000000000,11.551000,14.835000,1.3009982705599574,0.01271300000000000000
unique_btree,with_trigger,50000,5,100,100,10,10,1000,1000,1000,1000,19.3340000000000000,17.959000,20.765000,1.00814607076554139591,0.01933400000000000000
